iter	Passed	Remaining
0	2	233
1	4	224
2	7	226
3	8	209
4	11	214
5	13	215
6	15	211
7	18	207
8	19	202
9	21	197
10	23	193
11	25	188
12	27	186
13	29	183
14	31	181
15	33	177
16	35	175
17	38	173
18	40	170
19	42	168
20	44	166
21	46	164
22	48	162
23	51	161
24	53	160
25	55	158
26	58	157
27	60	155
28	62	152
29	64	149
30	66	146
31	67	144
32	69	141
33	71	139
34	73	137
35	76	135
36	78	133
37	80	130
38	81	128
39	83	125
40	85	123
41	86	119
42	88	117
43	90	115
44	92	113
45	95	111
46	97	110
47	99	108
48	101	106
49	103	103
50	106	102
51	108	100
52	110	97
53	112	95
54	113	92
55	115	90
56	117	88
57	119	86
58	121	84
59	123	82
60	125	79
61	127	77
62	129	75
63	131	73
64	134	72
65	136	70
66	138	68
67	140	66
68	142	64
69	144	61
70	146	59
71	148	57
72	150	55
73	152	53
74	154	51
75	156	49
76	158	47
77	160	45
78	162	43
79	164	41
80	166	39
81	168	36
82	170	34
83	172	32
84	174	30
85	176	28
86	178	26
87	180	24
88	182	22
89	184	20
90	186	18
91	188	16
92	190	14
93	192	12
94	194	10
95	196	8
96	198	6
97	200	4
98	202	2
99	204	0
