iter	Passed	Remaining
0	143	143429
1	145	72514
2	146	48839
3	148	36958
4	150	30047
5	153	25368
6	154	21966
7	156	19460
8	158	17479
9	160	15861
10	162	14595
11	164	13505
12	165	12585
13	167	11782
14	168	11076
15	170	10509
16	172	9970
17	174	9493
18	175	9069
19	177	8686
20	178	8341
21	180	8020
22	181	7726
23	183	7456
24	185	7227
25	187	7005
26	188	6796
27	190	6603
28	191	6422
29	193	6254
30	195	6096
31	196	5948
32	198	5813
33	200	5698
34	202	5575
35	203	5458
36	205	5345
37	207	5241
38	208	5143
39	210	5051
40	212	4962
41	214	4900
42	216	4820
43	218	4740
44	219	4663
45	221	4587
46	222	4519
47	224	4454
48	226	4389
49	228	4340
50	230	4280
51	231	4222
52	233	4164
53	234	4106
54	236	4055
55	237	4007
56	239	3961
57	241	3916
58	243	3890
59	245	3850
60	247	3805
61	248	3763
62	250	3722
63	251	3685
64	253	3648
65	255	3612
66	256	3578
67	259	3555
68	260	3520
69	262	3486
70	263	3452
71	265	3420
72	266	3389
73	268	3360
74	269	3329
75	271	3302
76	273	3282
77	275	3252
78	276	3222
79	277	3195
80	279	3167
81	280	3140
82	281	3106
83	282	3077
84	283	3050
85	284	3023
86	285	2996
87	286	2972
88	289	2959
89	290	2935
90	291	2911
91	292	2888
92	293	2865
93	294	2842
94	296	2820
95	297	2798
96	298	2776
97	299	2753
98	300	2733
99	301	2713
100	302	2694
101	304	2681
102	305	2661
103	306	2641
104	307	2622
105	308	2604
106	309	2585
107	310	2567
108	312	2550
109	313	2533
110	314	2516
111	315	2501
112	316	2486
113	318	2473
114	319	2458
115	320	2443
116	321	2426
117	322	2411
118	323	2396
119	324	2381
120	325	2367
121	326	2351
122	328	2341
123	329	2327
124	330	2313
125	331	2300
126	332	2286
127	333	2275
128	335	2262
129	336	2250
130	337	2238
131	338	2225
132	339	2213
133	340	2201
134	341	2190
135	342	2177
136	343	2166
137	345	2155
138	346	2143
139	347	2133
140	348	2125
141	349	2112
142	350	2102
143	351	2091
144	353	2081
145	354	2075
146	356	2066
147	357	2057
148	358	2047
149	359	2037
150	360	2027
151	361	2017
152	362	2009
153	364	2003
154	365	1994
155	367	1986
156	368	1977
157	369	1968
158	370	1959
159	371	1950
160	372	1940
161	373	1932
162	374	1923
163	375	1914
164	376	1906
165	377	1898
166	379	1892
167	380	1884
168	381	1877
169	382	1869
170	384	1862
171	385	1855
172	386	1848
173	388	1841
174	389	1834
175	390	1827
176	391	1819
177	392	1812
178	394	1808
179	395	1801
180	396	1795
181	397	1788
182	399	1781
183	400	1774
184	401	1767
185	402	1760
186	403	1753
187	404	1747
188	405	1740
189	406	1734
190	407	1727
191	409	1723
192	410	1717
193	411	1710
194	412	1704
195	413	1698
196	415	1691
197	416	1685
198	417	1679
199	418	1673
200	419	1667
201	420	1661
202	421	1655
203	422	1649
204	424	1645
205	425	1639
206	426	1633
207	427	1627
208	428	1622
209	429	1616
210	430	1610
211	431	1604
212	432	1599
213	433	1593
214	434	1587
215	435	1582
216	436	1576
217	438	1573
218	440	1571
219	441	1566
220	442	1561
221	444	1556
222	445	1551
223	446	1545
224	447	1540
225	448	1535
226	449	1530
227	450	1525
228	451	1520
229	452	1515
230	454	1513
231	455	1508
232	456	1504
233	458	1499
234	459	1495
235	460	1491
236	461	1487
237	462	1482
238	464	1477
239	465	1473
240	466	1469
241	467	1464
242	469	1462
243	470	1458
244	472	1454
245	473	1450
246	474	1446
247	475	1441
248	476	1437
249	477	1433
250	478	1429
251	480	1425
252	481	1421
253	482	1416
254	484	1416
255	485	1412
256	487	1408
257	488	1404
258	489	1399
259	490	1395
260	491	1391
261	492	1387
262	493	1383
263	494	1379
264	496	1375
265	497	1372
266	498	1369
267	500	1365
268	501	1362
269	502	1358
270	504	1356
271	505	1353
272	506	1349
273	507	1345
274	509	1342
275	510	1338
276	511	1335
277	512	1331
278	514	1328
279	515	1324
280	516	1321
281	517	1318
282	518	1314
283	520	1311
284	521	1308
285	522	1304
286	523	1301
287	525	1298
288	526	1296
289	528	1293
290	530	1291
291	531	1288
292	532	1285
293	533	1282
294	535	1279
295	536	1275
296	537	1272
297	538	1269
298	540	1266
299	541	1262
300	542	1259
301	544	1258
302	545	1255
303	547	1252
304	548	1249
305	549	1246
306	550	1243
307	551	1239
308	553	1236
309	554	1233
310	555	1230
311	556	1226
312	557	1223
313	559	1222
314	561	1219
315	562	1216
316	563	1213
317	564	1210
318	565	1207
319	566	1204
320	568	1201
321	569	1198
322	570	1195
323	571	1192
324	572	1188
325	574	1187
326	575	1185
327	577	1182
328	578	1178
329	579	1175
330	580	1172
331	581	1169
332	582	1166
333	583	1163
334	584	1160
335	585	1157
336	586	1154
337	587	1151
338	589	1149
339	590	1147
340	592	1144
341	593	1141
342	594	1138
343	595	1135
344	596	1132
345	597	1129
346	598	1126
347	599	1123
348	601	1121
349	602	1118
350	603	1115
351	604	1113
352	606	1111
353	607	1108
354	608	1105
355	609	1102
356	610	1100
357	611	1097
358	612	1094
359	614	1091
360	615	1089
361	616	1086
362	617	1083
363	618	1081
364	620	1079
365	621	1076
366	622	1073
367	623	1071
368	624	1068
369	625	1065
370	627	1063
371	628	1060
372	629	1057
373	630	1055
374	631	1052
375	632	1050
376	634	1048
377	635	1046
378	636	1043
379	637	1040
380	639	1038
381	640	1035
382	641	1033
383	642	1030
384	643	1027
385	644	1025
386	645	1022
387	646	1020
388	647	1017
389	649	1015
390	650	1013
391	651	1010
392	652	1008
393	653	1005
394	655	1003
395	656	1000
396	657	998
397	658	995
398	659	992
399	660	990
400	661	988
401	662	985
402	663	982
403	665	981
404	666	979
405	667	976
406	668	974
407	669	971
408	670	969
409	671	966
410	673	964
411	674	962
412	675	960
413	676	957
414	677	955
415	679	953
416	680	951
417	682	949
418	683	947
419	684	944
420	685	942
421	686	940
422	687	937
423	688	935
424	689	933
425	690	930
426	691	928
427	692	926
428	694	924
429	695	921
430	696	919
431	697	917
432	698	914
433	699	912
434	700	910
435	701	907
436	703	905
437	704	903
438	705	901
439	706	898
440	707	896
441	708	894
442	710	892
443	711	890
444	712	888
445	713	886
446	714	883
447	715	881
448	716	879
449	717	877
450	718	875
451	719	872
452	720	870
453	721	868
454	723	866
455	724	864
456	726	862
457	727	860
458	728	858
459	729	856
460	730	854
461	731	851
462	732	849
463	733	847
464	734	845
465	736	843
466	737	841
467	738	839
468	739	837
469	740	835
470	741	833
471	742	831
472	744	829
473	745	827
474	746	825
475	747	822
476	748	820
477	749	818
478	750	816
479	751	814
480	752	812
481	753	810
482	755	808
483	756	806
484	757	804
485	759	802
486	760	800
487	761	798
488	762	796
489	763	794
490	764	792
491	765	790
492	766	788
493	767	786
494	768	784
495	770	782
496	771	780
497	772	778
498	773	776
499	774	774
500	776	772
501	777	770
502	778	768
503	779	766
504	780	764
505	781	762
506	782	760
507	783	758
508	784	756
509	785	754
510	786	752
511	787	750
512	788	748
513	789	746
514	791	744
515	792	742
516	793	740
517	794	738
518	795	736
519	796	735
520	797	733
521	798	731
522	799	729
523	801	728
524	802	726
525	803	724
526	804	722
527	806	720
528	807	718
529	808	717
530	809	715
531	810	713
532	811	711
533	812	709
534	814	707
535	815	706
536	817	704
537	818	702
538	819	700
539	820	698
540	821	696
541	822	694
542	823	692
543	824	691
544	825	689
545	826	687
546	827	685
547	828	683
548	829	681
549	831	680
550	832	678
551	833	676
552	834	674
553	835	672
554	836	670
555	837	668
556	838	666
557	839	665
558	840	663
559	841	661
560	842	659
561	844	657
562	845	656
563	847	654
564	848	653
565	849	651
566	850	649
567	851	647
568	852	645
569	853	644
570	854	642
571	855	640
572	857	638
573	858	636
574	859	635
575	861	634
576	862	632
577	863	630
578	865	628
579	866	627
580	867	625
581	868	623
582	869	622
583	871	620
584	872	618
585	873	616
586	874	615
587	875	613
588	877	612
589	878	610
590	879	608
591	880	607
592	882	605
593	883	603
594	884	601
595	887	601
596	888	599
597	889	597
598	890	596
599	892	594
600	893	593
601	894	591
602	895	589
603	896	587
604	897	586
605	899	584
606	900	582
607	901	581
608	902	579
609	903	577
610	904	576
611	906	574
612	907	572
613	908	571
614	909	569
615	910	567
616	911	566
617	913	564
618	914	563
619	915	561
620	916	559
621	917	557
622	918	556
623	920	554
624	921	553
625	922	551
626	923	549
627	924	547
628	925	546
629	927	544
630	928	542
631	929	541
632	930	539
633	931	537
634	932	536
635	933	534
636	935	532
637	936	531
638	937	529
639	939	528
640	940	526
641	941	525
642	942	523
643	944	521
644	945	520
645	946	518
646	947	517
647	948	515
648	950	514
649	951	512
650	953	510
651	954	509
652	955	507
653	956	505
654	957	504
655	958	502
656	959	501
657	960	499
658	961	497
659	963	496
660	964	494
661	966	493
662	967	491
663	969	490
664	971	489
665	972	487
666	973	486
667	974	484
668	976	483
669	978	481
670	979	480
671	981	478
672	982	477
673	983	475
674	985	474
675	986	472
676	987	471
677	989	469
678	990	468
679	991	466
680	992	465
681	993	463
682	995	462
683	996	460
684	998	458
685	999	457
686	1000	455
687	1001	454
688	1003	452
689	1004	451
690	1005	449
691	1007	448
692	1008	446
693	1010	445
694	1011	444
695	1013	442
696	1015	441
697	1016	439
698	1017	438
699	1019	436
700	1020	435
701	1021	433
702	1023	432
703	1024	430
704	1025	429
705	1027	427
706	1028	426
707	1030	424
708	1031	423
709	1033	421
710	1034	420
711	1036	419
712	1037	417
713	1038	416
714	1040	414
715	1041	413
716	1043	411
717	1044	410
